"","species","year","data","totalCatch"
"1","Pink",1951,"npafc",56852260
"2","Pink",1952,"npafc",39723150
"3","Pink",1953,"npafc",31341920
"4","Pink",1954,"npafc",45780940
"5","Pink",1955,"npafc",49649860
"6","Pink",1956,"npafc",52841260
"7","Pink",1957,"npafc",27508230
"8","Pink",1958,"npafc",52198580
"9","Pink",1959,"npafc",21860770
"10","Pink",1960,"npafc",32158610
"11","Pink",1961,"npafc",43011540
"12","Pink",1962,"npafc",87727670
"13","Pink",1963,"npafc",68551300
"14","Pink",1964,"npafc",90581520
"15","Pink",1965,"npafc",40694670
"16","Pink",1966,"npafc",80102600
"17","Pink",1967,"npafc",13118440
"18","Pink",1968,"npafc",89453210
"19","Pink",1969,"npafc",51534760
"20","Pink",1970,"npafc",62294700
"21","Pink",1971,"npafc",47056750
"22","Pink",1972,"npafc",31840770
"23","Pink",1973,"npafc",19601020
"24","Pink",1974,"npafc",19717160
"25","Pink",1975,"npafc",25967540
"26","Pink",1976,"npafc",49501700
"27","Pink",1977,"npafc",57173700
"28","Pink",1978,"npafc",107629260
"29","Pink",1979,"npafc",100271200
"30","Pink",1980,"npafc",126563930
"31","Pink",1981,"npafc",120033290
"32","Pink",1982,"npafc",129656660
"33","Pink",1983,"npafc",120674100
"34","Pink",1984,"npafc",152480530
"35","Pink",1985,"npafc",180679220
"36","Pink",1986,"npafc",154639790
"37","Pink",1987,"npafc",92973780
"38","Pink",1988,"npafc",100715210
"39","Pink",1989,"npafc",193738080
"40","Pink",1990,"npafc",176416460
"41","Pink",1991,"npafc",256678720
"42","Pink",1992,"npafc",121036070
"43","Pink",1993,"npafc",219586490
"44","Pink",1994,"npafc",232699290
"45","Pink",1995,"npafc",256653510
"46","Pink",1996,"npafc",195674540
"47","Pink",1997,"npafc",143898240
"48","Pink",1998,"npafc",209559090
"49","Pink",1999,"npafc",292188610
"50","Pink",2000,"npafc",150345560
"51","Pink",2001,"npafc",255703170
"52","Pink",2002,"npafc",174621690
"53","Pink",2003,"npafc",248485540
"54","Pink",2004,"npafc",199867580
"55","Pink",2005,"npafc",322503820
"56","Pink",2006,"npafc",145642670
"57","Pink",2007,"npafc",288174400
"58","Pink",2008,"npafc",168179230
"59","Pink",2009,"npafc",194410920
"60","Pink",2010,"npafc",215363970
"61","Pink",2011,"npafc",232319650
"62","Pink",2012,"npafc",136091170
"63","Pink",2013,"npafc",452591840
"64","Pink",2014,"npafc",191432110
"65","Pink",2015,"npafc",381441160
"66","Sockeye",1951,"npafc",19305620
"67","Sockeye",1952,"npafc",33858330
"68","Sockeye",1953,"npafc",23585290
"69","Sockeye",1954,"npafc",19278740
"70","Sockeye",1955,"npafc",17421120
"71","Sockeye",1956,"npafc",29566720
"72","Sockeye",1957,"npafc",19781680
"73","Sockeye",1958,"npafc",12208390
"74","Sockeye",1959,"npafc",16153140
"75","Sockeye",1960,"npafc",35667920
"76","Sockeye",1961,"npafc",32162610
"77","Sockeye",1962,"npafc",18593370
"78","Sockeye",1963,"npafc",12430800
"79","Sockeye",1964,"npafc",19932180
"80","Sockeye",1965,"npafc",59540980
"81","Sockeye",1966,"npafc",30146710
"82","Sockeye",1967,"npafc",17152800
"83","Sockeye",1968,"npafc",16259310
"84","Sockeye",1969,"npafc",22833640
"85","Sockeye",1970,"npafc",55267850
"86","Sockeye",1971,"npafc",28359230
"87","Sockeye",1972,"npafc",13179230
"88","Sockeye",1973,"npafc",8980400
"89","Sockeye",1974,"npafc",9756660
"90","Sockeye",1975,"npafc",14906780
"91","Sockeye",1976,"npafc",23566700
"92","Sockeye",1977,"npafc",24920240
"93","Sockeye",1978,"npafc",36276740
"94","Sockeye",1979,"npafc",57445310
"95","Sockeye",1980,"npafc",66615210
"96","Sockeye",1981,"npafc",72685970
"97","Sockeye",1982,"npafc",57663850
"98","Sockeye",1983,"npafc",105450980
"99","Sockeye",1984,"npafc",76702110
