"","species","year","data","totalCatch"
"1","Pink",1921,"inpfc",16146123
"2","Pink",1922,"inpfc",41980924
"3","Pink",1923,"inpfc",56898611
"4","Pink",1924,"inpfc",62190180
"5","Pink",1925,"inpfc",49744926
"6","Pink",1926,"inpfc",67374924
"7","Pink",1927,"inpfc",32494847
"8","Pink",1928,"inpfc",61525317
"9","Pink",1929,"inpfc",54797840
"10","Pink",1930,"inpfc",83235522
"11","Pink",1931,"inpfc",51987728
"12","Pink",1932,"inpfc",39856001
"13","Pink",1933,"inpfc",54348257
"14","Pink",1934,"inpfc",82102862
"15","Pink",1935,"inpfc",63065583
"16","Pink",1936,"inpfc",89562175
"17","Pink",1937,"inpfc",81693277
"18","Pink",1938,"inpfc",61473689
"19","Pink",1939,"inpfc",57038618
"20","Pink",1940,"inpfc",64587056
"21","Pink",1941,"inpfc",86015865
"22","Pink",1942,"inpfc",58523991
"23","Pink",1943,"inpfc",57695724
"24","Pink",1944,"inpfc",44382070
"25","Pink",1945,"inpfc",68132458
"26","Pink",1946,"inpfc",50079741
"27","Pink",1947,"inpfc",56155907
"28","Pink",1948,"inpfc",34263509
"29","Pink",1949,"inpfc",75464962
"30","Pink",1950,"inpfc",26860044
"31","Pink",1951,"npafc",56852260
"32","Pink",1952,"npafc",39723150
"33","Pink",1953,"npafc",31341920
"34","Pink",1954,"npafc",45780940
"35","Pink",1955,"npafc",49649860
"36","Pink",1956,"npafc",52841260
"37","Pink",1957,"npafc",27508230
"38","Pink",1958,"npafc",52198580
"39","Pink",1959,"npafc",21860770
"40","Pink",1960,"npafc",32158610
"41","Pink",1961,"npafc",43011540
"42","Pink",1962,"npafc",87727670
"43","Pink",1963,"npafc",68551300
"44","Pink",1964,"npafc",90581520
"45","Pink",1965,"npafc",40694670
"46","Pink",1966,"npafc",80102600
"47","Pink",1967,"npafc",13118440
"48","Pink",1968,"npafc",89453210
"49","Pink",1969,"npafc",51534760
"50","Pink",1970,"npafc",62294700
"51","Pink",1971,"npafc",47056750
"52","Pink",1972,"npafc",31840770
"53","Pink",1973,"npafc",19601020
"54","Pink",1974,"npafc",19717160
"55","Pink",1975,"npafc",25967540
"56","Pink",1976,"npafc",49501700
"57","Pink",1977,"npafc",57173700
"58","Pink",1978,"npafc",107629260
"59","Pink",1979,"npafc",100271200
"60","Pink",1980,"npafc",126563930
"61","Pink",1981,"npafc",120033290
"62","Pink",1982,"npafc",129656660
"63","Pink",1983,"npafc",120674100
"64","Pink",1984,"npafc",152480530
"65","Pink",1985,"npafc",180679220
"66","Pink",1986,"npafc",154639790
"67","Pink",1987,"npafc",92973780
"68","Pink",1988,"npafc",100715210
"69","Pink",1989,"npafc",193738080
"70","Pink",1990,"npafc",176416460
"71","Pink",1991,"npafc",256678720
"72","Pink",1992,"npafc",121036070
"73","Pink",1993,"npafc",221681060
"74","Pink",1994,"npafc",232699490
"75","Pink",1995,"npafc",259396340
"76","Pink",1996,"npafc",201391010
"77","Pink",1997,"npafc",152333410
"78","Pink",1998,"npafc",211982070
"79","Pink",1999,"npafc",298316440
"80","Pink",2000,"npafc",154840290
"81","Pink",2001,"npafc",263313920
"82","Pink",2002,"npafc",179956550
"83","Pink",2003,"npafc",260442840
"84","Pink",2004,"npafc",202218320
"85","Pink",2005,"npafc",331176810
"86","Pink",2006,"npafc",146420220
"87","Pink",2007,"npafc",295298560
"88","Pink",2008,"npafc",168405480
"89","Pink",2009,"npafc",208942670
"90","Pink",2010,"npafc",216144050
"91","Pink",2011,"npafc",242754210
"92","Pink",2012,"npafc",136874350
"93","Pink",2013,"npafc",470641270
"94","Pink",2014,"npafc",195672580
"95","Pink",2015,"npafc",383780730
"96","Sockeye",1921,"inpfc",29544812
"97","Sockeye",1922,"inpfc",38180578
"98","Sockeye",1923,"inpfc",32132558
"99","Sockeye",1924,"inpfc",25024243
"100","Sockeye",1925,"inpfc",21488609
"101","Sockeye",1926,"inpfc",35906039
"102","Sockeye",1927,"inpfc",22099416
"103","Sockeye",1928,"inpfc",30243066
