YEAR,DAYOFYR,DATE,statWeek,fishWheel,TIME,SEX,FL_cm,FL_mm,AGE,STAGE
1994,168,17-Jun-94,25,2,1105,F,54,540,42,Adult
1994,168,17-Jun-94,25,1,1700,F,68,680,42,Adult
1994,169,18-Jun-94,25,2,945,F,63,630,42,Adult
1994,169,18-Jun-94,25,2,1530,F,59,590,42,Adult
1994,171,20-Jun-94,26,2,1826,M,51,510,42,Adult
1994,172,21-Jun-94,26,1,857,F,57,570,42,Adult
1994,172,21-Jun-94,26,2,950,M,60,600,42,Adult
1994,172,21-Jun-94,26,2,1005,F,54,540,42,Adult
1994,174,23-Jun-94,26,2,1028,F,54,540,42,Adult
1994,174,23-Jun-94,26,2,1037,F,54,540,42,Adult
1994,179,28-Jun-94,27,1,900,F,53,530,42,Adult
1994,180,29-Jun-94,27,2,810,F,54,540,42,Adult
1994,180,29-Jun-94,27,2,810,M,57,570,42,Adult
1994,181,30-Jun-94,27,2,820,M,62,620,42,Adult
1994,181,30-Jun-94,27,2,820,M,68,680,42,Adult
1994,182,01-Jul-94,27,2,815,M,57,570,42,Adult
1994,182,01-Jul-94,27,2,1037,M,53,530,42,Adult
1994,182,01-Jul-94,27,2,1050,F,59,590,42,Adult
1994,182,01-Jul-94,27,2,1055,F,52,520,42,Adult
1994,182,01-Jul-94,27,1,1103,F,56,560,42,Adult
1994,182,01-Jul-94,27,1,1103,F,59,590,42,Adult
1994,182,01-Jul-94,27,1,1110,F,57,570,42,Adult
1994,183,02-Jul-94,27,2,1051,F,58,580,42,Adult
1994,183,02-Jul-94,27,2,1051,M,60,600,42,Adult
1994,184,03-Jul-94,28,1,1930,M,55,550,42,Adult
1994,184,03-Jul-94,28,1,1930,F,56,560,42,Adult
1994,184,03-Jul-94,28,1,1930,F,58,580,42,Adult
1994,184,03-Jul-94,28,1,1930,F,62,620,42,Adult
1994,184,03-Jul-94,28,1,1930,M,57,570,42,Adult
1994,185,04-Jul-94,28,1,1135,F,57,570,42,Adult
1994,185,04-Jul-94,28,1,1135,F,57,570,42,Adult
1994,185,04-Jul-94,28,1,1135,M,57,570,42,Adult
1994,186,05-Jul-94,28,1,1055,M,62,620,42,Adult
1994,186,05-Jul-94,28,1,1055,F,63,630,42,Adult
1994,186,05-Jul-94,28,1,1055,M,59,590,42,Adult
1994,186,05-Jul-94,28,1,1055,F,61,610,42,Adult
1994,187,06-Jul-94,28,1,1130,F,58,580,42,Adult
1994,187,06-Jul-94,28,1,1130,F,60,600,42,Adult
1994,187,06-Jul-94,28,1,1130,F,51,510,42,Adult
1994,187,06-Jul-94,28,1,1130,M,60,600,42,Adult
1994,187,06-Jul-94,28,1,1130,F,58,580,42,Adult
1994,187,06-Jul-94,28,1,1130,M,61,610,42,Adult
1994,188,07-Jul-94,28,1,1130,F,57,570,42,Adult
1994,189,08-Jul-94,28,1,1005,M,66,660,42,Adult
1994,189,08-Jul-94,28,1,1005,F,59,590,42,Adult
1994,189,08-Jul-94,28,1,1005,F,57,570,42,Adult
1994,189,08-Jul-94,28,1,1005,M,63,630,42,Adult
1994,189,08-Jul-94,28,1,1005,M,54,540,42,Adult
1994,189,08-Jul-94,28,1,1005,F,54,540,42,Adult
1994,189,08-Jul-94,28,1,1005,F,54,540,42,Adult
1994,190,09-Jul-94,28,2,1000,F,58,580,42,Adult
1994,191,10-Jul-94,29,1,930,M,58,580,42,Adult
1994,191,10-Jul-94,29,1,930,M,58,580,42,Adult
1994,191,10-Jul-94,29,1,930,M,60,600,42,Adult
1994,191,10-Jul-94,29,1,930,M,52,520,42,Adult
1994,191,10-Jul-94,29,1,930,F,60,600,42,Adult
1994,192,11-Jul-94,29,1,1020,F,51,510,42,Adult
1994,192,11-Jul-94,29,1,1020,F,53,530,42,Adult
1994,192,11-Jul-94,29,1,1020,F,57,570,42,Adult
1994,192,11-Jul-94,29,1,1020,F,54,540,42,Adult
1994,192,11-Jul-94,29,1,1020,M,57,570,42,Adult
1994,193,12-Jul-94,29,1,930,F,53,530,42,Adult
1994,193,12-Jul-94,29,1,930,M,69,690,42,Adult
1994,193,12-Jul-94,29,1,930,F,56,560,42,Adult
1994,193,12-Jul-94,29,1,930,F,54,540,42,Adult
1994,195,14-Jul-94,29,1,1700,F,60,600,42,Adult
1994,195,14-Jul-94,29,1,1700,M,58,580,42,Adult
1994,195,14-Jul-94,29,1,1700,M,64,640,42,Adult
1994,195,14-Jul-94,29,1,1700,M,55,550,42,Adult
1994,196,15-Jul-94,29,1,830,M,59,590,42,Adult
1994,196,15-Jul-94,29,1,830,M,63,630,42,Adult
1994,196,15-Jul-94,29,1,830,F,66,660,42,Adult
1994,196,15-Jul-94,29,1,830,F,62,620,42,Adult
1994,197,16-Jul-94,29,1,1800,F,51,510,42,Adult
1994,197,16-Jul-94,29,1,1800,F,53,530,42,Adult
1994,197,16-Jul-94,29,1,1800,F,55,550,42,Adult
1994,197,16-Jul-94,29,1,1800,F,55,550,42,Adult
1994,197,16-Jul-94,29,1,1800,F,62,620,42,Adult
1994,197,16-Jul-94,29,1,1800,F,63,630,42,Adult
1994,197,16-Jul-94,29,1,1800,F,53,530,42,Adult
1994,198,17-Jul-94,30,1,1920,F,57,570,42,Adult
1994,198,17-Jul-94,30,1,1920,F,62,620,42,Adult
1994,198,17-Jul-94,30,1,1920,M,65,650,42,Adult
1994,198,17-Jul-94,30,1,1920,F,60,600,42,Adult
1994,198,17-Jul-94,30,1,1920,M,57,570,42,Adult
1994,199,18-Jul-94,30,1,900,F,57,570,42,Adult
1994,199,18-Jul-94,30,1,900,M,57,570,42,Adult
1994,199,18-Jul-94,30,1,900,M,64,640,42,Adult
1994,199,18-Jul-94,30,1,900,F,53,530,42,Adult
1994,200,19-Jul-94,30,1,815,F,59,590,42,Adult
1994,200,19-Jul-94,30,1,815,F,53,530,42,Adult
1994,200,19-Jul-94,30,1,815,F,53,530,42,Adult
1994,200,19-Jul-94,30,1,815,F,50,500,42,Adult
1994,201,20-Jul-94,30,1,800,F,55,550,42,Adult
1994,201,20-Jul-94,30,1,800,F,57,570,42,Adult
1994,201,20-Jul-94,30,1,800,F,52,520,42,Adult
1994,201,20-Jul-94,30,1,800,F,52,520,42,Adult
1994,201,20-Jul-94,30,1,800,F,55,550,42,Adult
1994,201,20-Jul-94,30,1,800,M,55,550,42,Adult
1994,201,20-Jul-94,30,1,800,F,55,550,42,Adult
1994,202,21-Jul-94,30,1,815,F,55,550,42,Adult
1994,202,21-Jul-94,30,1,815,M,60,600,42,Adult
1994,202,21-Jul-94,30,1,815,M,57,570,42,Adult
1994,202,21-Jul-94,30,1,815,F,56,560,42,Adult
1994,202,21-Jul-94,30,1,815,F,56,560,42,Adult
1994,202,21-Jul-94,30,1,815,F,54,540,42,Adult
1994,202,21-Jul-94,30,1,815,F,54,540,42,Adult
1994,202,21-Jul-94,30,2,930,F,57,570,42,Adult
1994,202,21-Jul-94,30,2,930,F,56,560,42,Adult
1994,203,22-Jul-94,30,1,830,F,57,570,42,Adult
1994,203,22-Jul-94,30,1,830,F,56,560,42,Adult
1994,204,23-Jul-94,30,1,930,F,54,540,42,Adult
1994,204,23-Jul-94,30,1,930,F,53,530,42,Adult
1994,204,23-Jul-94,30,1,930,F,57,570,42,Adult
1994,204,23-Jul-94,30,1,930,F,54,540,42,Adult
1994,205,24-Jul-94,31,2,1000,M,71,710,42,Adult
1994,206,25-Jul-94,31,2,830,F,67,670,42,Adult
1994,207,26-Jul-94,31,2,810,F,59,590,42,Adult
1994,207,26-Jul-94,31,2,905,M,62,620,42,Adult
1994,208,27-Jul-94,31,2,815,F,56,560,42,Adult
1994,208,27-Jul-94,31,2,815,F,53,530,42,Adult
1994,208,27-Jul-94,31,2,815,F,54,540,42,Adult
1994,208,27-Jul-94,31,2,815,F,53,530,42,Adult
1994,209,28-Jul-94,31,2,900,F,52,520,42,Adult
1994,209,28-Jul-94,31,2,900,F,55,550,42,Adult
1994,209,28-Jul-94,31,2,900,M,60,600,42,Adult
1994,209,28-Jul-94,31,2,900,F,64,640,42,Adult
1994,209,28-Jul-94,31,2,900,F,60,600,42,Adult
1994,210,29-Jul-94,31,1,830,F,53,530,42,Adult
1994,210,29-Jul-94,31,1,830,M,60,600,42,Adult
1994,210,29-Jul-94,31,2,920,M,59,590,42,Adult
1994,210,29-Jul-94,31,1,830,F,58,580,42,Adult
1994,211,30-Jul-94,31,1,900,M,59,590,42,Adult
1994,211,30-Jul-94,31,1,900,F,48,480,42,Adult
1994,211,30-Jul-94,31,1,900,F,56,560,42,Adult
1994,211,30-Jul-94,31,1,900,M,58,580,42,Adult
1994,211,30-Jul-94,31,1,900,F,51,510,42,Adult
1994,211,30-Jul-94,31,1,900,F,55,550,42,Adult
1994,211,30-Jul-94,31,2,1100,F,56,560,42,Adult
1994,212,31-Jul-94,32,1,945,F,62,620,42,Adult
1994,212,31-Jul-94,32,2,1025,F,57,570,42,Adult
1994,212,31-Jul-94,32,2,1025,F,53,530,42,Adult
1994,212,31-Jul-94,32,2,1025,F,57,570,42,Adult
1994,213,01-Aug-94,32,2,1000,M,64,640,42,Adult
1994,213,01-Aug-94,32,2,1000,M,60,600,42,Adult
1994,213,01-Aug-94,32,2,1000,F,62,620,42,Adult
1994,214,02-Aug-94,32,2,800,M,66,660,42,Adult
1994,214,02-Aug-94,32,2,800,M,61,610,42,Adult
1994,214,02-Aug-94,32,2,800,F,60,600,42,Adult
1994,215,03-Aug-94,32,1,830,F,60,600,42,Adult
1994,215,03-Aug-94,32,1,830,F,64,640,42,Adult
1994,215,03-Aug-94,32,2,900,M,54,540,42,Adult
1994,216,04-Aug-94,32,1,830,M,59,590,42,Adult
1994,216,04-Aug-94,32,1,830,F,62,620,42,Adult
1994,216,04-Aug-94,32,1,830,M,56,560,42,Adult
