return.yr,pink_SE,pink_CEN
1910,9425310,647089
1911,21408907,504925
1912,22011191,2706445
1913,25295606,1056619
1914,12567376,3598172
1915,30351380,912431
1916,19940350,9024166
1917,40327465,2960672
1918,39287711,10044276
1919,24330891,1419452
1920,18121431,10145323
1921,7735444,162989
1922,24001889,6941185
1923,39879249,3568267
1924,30029343,19529494
1925,28246398,7195665
1926,32193383,20743362
1927,8163332,13316308
1928,36051196,11084367
1929,21848494,17965014
1930,43483232,15613263
1931,27243530,13339632
1932,22605600,13044607
1933,25783195,13156723
1934,50327890,22439074
1935,30247606,19588622
1936,50747387,26149762
1937,35166387,31116761
1938,30288240,24186794
1939,23721956,20417301
1940,29093692,31414389
1941,60061213,17776076
1942,33127200,21310443
1943,18038752,29208600
1944,19344068,18339481
1945,21654516,26126241
1946,24821810,21781360
