YEAR,HYP_LEN,FORK_LENGTH
1962,455,550
1962,490,600
1962,495,603
1962,572,698
1962,485,593
1962,490,598
1962,490,598
1962,539,653
1962,522,638
1962,522,648
1962,533,653
1962,522,638
1962,532,645
1962,515,628
1962,519,630
1962,535,657
1962,498,609
1962,497,611
1962,478,593
1962,488,598
1962,530,640
1962,498,615
1962,488,598
1962,488,598
1962,501,611
1962,540,655
1962,478,593
1962,498,609
1962,522,639
1962,482,594
1962,541,655
1962,539,653
1962,525,640
1962,508,615
1962,440,542
1962,478,580
1962,487,586
1962,487,593
1962,485,590
1962,485,590
1962,472,576
1962,499,603
1962,487,586
1962,451,550
1962,445,544
1962,475,586
1962,523,652
1962,529,642
1962,526,640
1962,497,605
1962,527,652
1962,490,594
1962,473,573
1962,450,551
1962,488,591
1962,496,603
1962,476,578
1962,523,627
1962,561,691
1962,513,622
1962,538,650
1962,550,675
1962,497,621
1962,538,650
1962,555,683
1962,520,631
1962,555,683
1962,508,618
1962,525,635
1962,493,603
1962,502,612
1962,547,674
1962,502,612
1962,523,640
1962,517,633
1962,465,574
1962,535,666
1962,513,626
1962,458,566
1962,529,661
1962,555,675
1962,494,612
1962,506,620
1962,530,644
1962,508,622
1962,508,622
1962,491,600
1962,530,644
1962,500,613
1962,460,568
1962,479,588
1962,483,592
1962,493,608
1962,501,609
1962,526,646
1962,476,589
1962,475,583
1962,511,632
1962,489,596
1962,482,587
1962,485,590
1962,478,584
1962,493,599
1962,518,625
1962,492,598
1962,478,585
1962,461,562
1962,461,562
1962,476,581
1962,486,591
1962,467,568
1962,468,572
1962,473,580
1962,489,592
1962,459,561
1962,477,582
1962,498,603
1962,489,592
1962,478,580
1962,478,580
1962,467,570
1962,505,608
1962,485,590
1962,498,603
1962,497,602
1962,460,564
1962,554,676
1962,509,624
1962,529,655
1962,489,604
1962,509,624
1962,495,606
1962,550,669
1962,493,606
1962,482,605
1962,492,616
1962,581,704
1962,541,664
1962,542,667
1962,529,655
1962,512,624
1962,486,598
1962,554,676
1962,510,623
1962,518,632
1962,547,664
1962,550,669
1962,517,636
1962,509,626
1962,513,632
1962,574,703
1962,500,618
1962,522,640
1962,486,595
1962,483,592
1962,486,595
1962,460,568
1962,517,636
1962,481,591
1962,480,599
1962,516,635
1962,506,613
1962,506,613
1962,520,627
1962,459,559
1962,515,622
1962,450,556
1962,466,566
1962,466,566
1962,474,574
1962,414,517
1962,473,578
1962,468,572
1962,433,535
1962,433,535
1962,473,578
1962,459,558
1962,492,596
1962,488,592
1962,467,550
1962,467,550
1962,494,613
1962,552,673
1962,549,661
1962,555,667
1962,512,624
1962,494,606
1962,555,671
1962,536,652
1962,530,653
1962,510,618
1962,532,645
1962,521,634
1962,522,642
1962,520,640
1962,485,593
1962,519,627
1962,510,618
1962,482,600
1962,569,683
1962,537,658
1962,545,655
1962,489,599
1962,500,610
1962,531,658
1962,494,613
1962,489,599
1962,494,600
1962,494,600
1962,488,590
1962,483,587
1962,471,573
1962,485,587
1962,471,573
1962,492,594
1962,526,633
1962,563,667
1962,483,587
1962,563,667
1962,489,593
1962,531,636
1962,508,609
1962,457,555
1962,532,635
1962,501,604
1962,501,604
1962,491,597
1962,478,578
1962,499,603
1962,478,578
1962,565,683
1962,539,653
1962,527,645
1962,522,638
1962,565,683
1962,504,617
1962,502,618
1962,491,600
1962,489,598
1962,522,642
1962,504,617
1962,548,681
1962,522,634
1962,503,618
1962,523,647
1962,584,723
1962,516,640
1962,584,723
1962,475,578
1962,450,553
1962,450,553
1962,480,583
1962,482,584
1962,461,563
1962,461,563
1962,480,583
1962,456,553
1962,448,555
1962,544,659
1962,550,688
1962,542,665
1962,542,663
1962,542,663
1962,543,660
1962,542,665
1962,555,670
1962,483,598
1962,551,660
1962,558,686
