year,date,statWeek,fishWheel,time,sex,flCM,age,size,stockID,stockIDPpn
1994,16-Jun-94,25,2,911,M,50,31,Adult,,
1994,17-Jun-94,25,2,1145,F,59,31,Adult,,
1994,17-Jun-94,25,2,1717,F,56,31,Adult,,
1994,17-Jun-94,25,2,1717,M,50,31,Adult,,
1994,17-Jun-94,25,2,1730,M,59,31,Adult,,
1994,18-Jun-94,25,2,1530,M,50,31,Adult,,
1994,18-Jun-94,25,2,1550,M,51,31,Adult,,
1994,18-Jun-94,25,2,1555,M,54,31,Adult,,
1994,19-Jun-94,26,2,1235,F,52,31,Adult,,
1994,20-Jun-94,26,2,1050,M,50,31,Adult,,
1994,20-Jun-94,26,2,1050,M,48,31,Adult,,
1994,21-Jun-94,26,2,950,M,38,31,Jack,,
1994,21-Jun-94,26,2,1005,F,46,31,Adult,,
1994,22-Jun-94,26,2,953,M,54,31,Adult,,
1994,22-Jun-94,26,2,953,F,53,31,Adult,,
1994,23-Jun-94,26,2,1015,M,48,31,Adult,,
1994,23-Jun-94,26,2,1020,M,52,31,Adult,,
1994,23-Jun-94,26,2,1043,F,48,31,Adult,,
1994,24-Jun-94,26,2,715,M,55,31,Adult,,
1994,27-Jun-94,27,1,1852,M,64,31,Adult,,
1994,29-Jun-94,27,2,810,M,53,31,Adult,,
1994,30-Jun-94,27,2,820,M,56,31,Adult,,
1994,30-Jun-94,27,2,820,M,61,31,Adult,,
1994,1-Jul-94,27,2,815,M,57,31,Adult,,
1994,1-Jul-94,27,2,1037,F,47,31,Adult,,
1994,2-Jul-94,27,2,1051,F,52,31,Adult,,
1994,29-Aug-94,36,1,951,M,40,32,Adult,,
1994,31-Aug-94,36,1,920,M,44,32,Adult,,
1994,17-Jun-94,25,2,1150,F,58,41,Adult,,
1994,19-Jun-94,26,2,1250,F,54,41,Adult,,
1994,20-Jun-94,26,2,1830,F,61,41,Adult,,
1994,21-Jun-94,26,2,1003,F,53,41,Adult,,
1994,21-Jun-94,26,2,1015,F,53,41,Adult,,
1994,23-Jun-94,26,2,1028,F,57,41,Adult,,
1994,30-Jun-94,27,2,820,F,56,41,Adult,,
1994,2-Jul-94,27,2,1051,F,58,41,Adult,,
1994,17-Jun-94,25,2,1105,F,54,42,Adult,,
1994,17-Jun-94,25,1,1700,F,68,42,Adult,,
1994,18-Jun-94,25,2,945,F,63,42,Adult,,
1994,18-Jun-94,25,2,1530,F,59,42,Adult,,
1994,20-Jun-94,26,2,1826,M,51,42,Adult,,
1994,21-Jun-94,26,1,857,F,57,42,Adult,,
1994,21-Jun-94,26,2,950,M,60,42,Adult,,
1994,21-Jun-94,26,2,1005,F,54,42,Adult,,
1994,23-Jun-94,26,2,1028,F,54,42,Adult,,
1994,23-Jun-94,26,2,1037,F,54,42,Adult,,
1994,28-Jun-94,27,1,900,F,53,42,Adult,,
1994,29-Jun-94,27,2,810,F,54,42,Adult,,
1994,29-Jun-94,27,2,810,M,57,42,Adult,,
1994,30-Jun-94,27,2,820,M,62,42,Adult,,
1994,30-Jun-94,27,2,820,M,68,42,Adult,,
1994,1-Jul-94,27,2,815,M,57,42,Adult,,
1994,1-Jul-94,27,2,1037,M,53,42,Adult,,
1994,1-Jul-94,27,2,1050,F,59,42,Adult,,
1994,1-Jul-94,27,2,1055,F,52,42,Adult,,
1994,1-Jul-94,27,1,1103,F,56,42,Adult,,
1994,1-Jul-94,27,1,1103,F,59,42,Adult,,
1994,1-Jul-94,27,1,1110,F,57,42,Adult,,
1994,2-Jul-94,27,2,1051,F,58,42,Adult,,
1994,2-Jul-94,27,2,1051,M,60,42,Adult,,
1994,3-Jul-94,28,1,1930,M,55,42,Adult,,
1994,3-Jul-94,28,1,1930,F,56,42,Adult,,
1994,3-Jul-94,28,1,1930,F,58,42,Adult,,
1994,3-Jul-94,28,1,1930,F,62,42,Adult,,
1994,3-Jul-94,28,1,1930,M,57,42,Adult,,
1994,4-Jul-94,28,1,1135,F,57,42,Adult,,
1994,4-Jul-94,28,1,1135,F,57,42,Adult,,
1994,4-Jul-94,28,1,1135,M,57,42,Adult,,
1994,5-Jul-94,28,1,1055,M,62,42,Adult,,
1994,5-Jul-94,28,1,1055,F,63,42,Adult,,
1994,5-Jul-94,28,1,1055,M,59,42,Adult,,
1994,5-Jul-94,28,1,1055,F,61,42,Adult,,
1994,6-Jul-94,28,1,1130,F,58,42,Adult,,
1994,6-Jul-94,28,1,1130,F,60,42,Adult,,
1994,6-Jul-94,28,1,1130,F,51,42,Adult,,
1994,6-Jul-94,28,1,1130,M,60,42,Adult,,
1994,6-Jul-94,28,1,1130,F,58,42,Adult,,
