long,lat,year,month,temp
-166,48,1911,3,5.03
-166,48,1911,4,4.52
-166,48,1911,5,4.9
-166,48,1911,6,6
-166,50,1911,3,3.75
-166,50,1911,4,3.62
-166,50,1911,5,4.09
-166,50,1911,6,5.52
-166,52,1911,3,2.86
-166,52,1911,4,3.03
-166,52,1911,5,3.69
-166,52,1911,6,5.48
-166,54,1911,3,1.9
-166,54,1911,4,2.24
-166,54,1911,5,3.14
-166,54,1911,6,5.32
-166,56,1911,3,0.29
-166,56,1911,4,0.77
-166,56,1911,5,1.97
-166,56,1911,6,4.65
-166,58,1911,3,-1.53
-166,58,1911,4,-0.77
-166,58,1911,5,0.84
-166,58,1911,6,3.98
-164,48,1911,3,5.05
-164,48,1911,4,4.61
-164,48,1911,5,5.03
-164,48,1911,6,6.08
-164,50,1911,3,3.77
-164,50,1911,4,3.66
-164,50,1911,5,4.19
-164,50,1911,6,5.6
-164,52,1911,3,2.81
-164,52,1911,4,2.99
-164,52,1911,5,3.74
-164,52,1911,6,5.6
-164,54,1911,3,1.77
-164,54,1911,4,2.13
-164,54,1911,5,3.13
-164,54,1911,6,5.49
-164,56,1911,3,0.18
-164,56,1911,4,0.66
-164,56,1911,5,1.92
-164,56,1911,6,4.89
-164,58,1911,3,-1.41
-164,58,1911,4,-0.72
-164,58,1911,5,0.87
-164,58,1911,6,4.4
-162,48,1911,3,5.01
-162,48,1911,4,4.66
-162,48,1911,5,5.13
-162,48,1911,6,6.17
-162,50,1911,3,3.72
-162,50,1911,4,3.67
-162,50,1911,5,4.26
-162,50,1911,6,5.66
-162,52,1911,3,2.75
-162,52,1911,4,2.98
-162,52,1911,5,3.8
-162,52,1911,6,5.71
-162,54,1911,3,1.73
-162,54,1911,4,2.13
-162,54,1911,5,3.21
-162,54,1911,6,5.71
-162,56,1911,3,0.18
-162,56,1911,4,0.68
-162,56,1911,5,2.01
-162,56,1911,6,5.17
-162,58,1911,3,-1.28
-162,58,1911,4,-0.76
-162,58,1911,5,-0.67
-162,58,1911,6,4.73
-160,48,1911,3,4.94
-160,48,1911,4,4.71
-160,48,1911,5,5.24
-160,48,1911,6,6.31
-160,50,1911,3,3.66
-160,50,1911,4,3.69
-160,50,1911,5,4.33
-160,50,1911,6,5.75
-160,52,1911,3,2.72
-160,52,1911,4,3
-160,52,1911,5,3.87
-160,52,1911,6,5.79
-160,54,1911,3,1.82
-160,54,1911,4,2.26
-160,54,1911,5,3.36
-160,54,1911,6,5.89
-160,56,1911,3,0.39
-160,56,1911,4,0.89
-160,56,1911,5,2.24
-160,56,1911,6,5.45
-160,58,1911,3,-1.02
-160,58,1911,4,-0.48
-160,58,1911,5,0.08
