long,lat,year,month,temp
-136,48,1911,3,5.92
-136,48,1911,4,5.89
-136,48,1911,5,6.56
-136,48,1911,6,9.18
-136,50,1911,3,5.35
-136,50,1911,4,5.42
-136,50,1911,5,6.11
-136,50,1911,6,8.89
-136,52,1911,3,4.97
-136,52,1911,4,5.18
-136,52,1911,5,5.91
-136,52,1911,6,8.84
-136,54,1911,3,4.6
-136,54,1911,4,4.99
-136,54,1911,5,5.77
-136,54,1911,6,8.87
-136,56,1911,3,4.23
-136,56,1911,4,4.79
-136,56,1911,5,5.65
-136,56,1911,6,8.91
-136,58,1911,3,3.96
-136,58,1911,4,4.67
-136,58,1911,5,5.58
-136,58,1911,6,8.96
-134,48,1911,3,6.18
-134,48,1911,4,6.18
-134,48,1911,5,6.86
-134,48,1911,6,9.46
-134,50,1911,3,5.67
-134,50,1911,4,5.78
-134,50,1911,5,6.46
-134,50,1911,6,9.23
-134,52,1911,3,5.33
-134,52,1911,4,5.6
-134,52,1911,5,6.28
-134,52,1911,6,9.19
-134,54,1911,3,4.94
-134,54,1911,4,5.37
-134,54,1911,5,6.08
-134,54,1911,6,9.12
-134,56,1911,3,4.48
-134,56,1911,4,5.09
-134,56,1911,5,5.84
-134,56,1911,6,9
-134,58,1911,3,4.09
-134,58,1911,4,4.83
-134,58,1911,5,5.6
-134,58,1911,6,8.88
-132,48,1911,3,6.42
-132,48,1911,4,6.52
-132,48,1911,5,7.23
-132,48,1911,6,9.75
-132,50,1911,3,5.97
-132,50,1911,4,6.2
-132,50,1911,5,6.9
-132,50,1911,6,9.58
-132,52,1911,3,5.6
-132,52,1911,4,5.99
-132,52,1911,5,6.71
-132,52,1911,6,9.55
-132,54,1911,3,5.12
-132,54,1911,4,5.67
-132,54,1911,5,6.43
-132,54,1911,6,9.45
-132,56,1911,3,4.67
-132,56,1911,4,5.33
-132,56,1911,5,6.07
-132,56,1911,6,9.21
-130,48,1911,3,6.68
-130,48,1911,4,6.94
-130,48,1911,5,7.73
-130,48,1911,6,10.09
-130,50,1911,3,6.28
-130,50,1911,4,6.67
-130,50,1911,5,7.44
-130,50,1911,6,9.95
-130,52,1911,3,5.86
-130,52,1911,4,6.39
-130,52,1911,5,7.19
-130,52,1911,6,9.9
-130,54,1911,3,5.33
-130,54,1911,4,5.98
-130,54,1911,5,6.79
-130,54,1911,6,9.73
-128,48,1911,3,6.97
-128,48,1911,4,7.46
-128,48,1911,5,8.37
-128,48,1911,6,10.51
-128,50,1911,3,6.59
-128,50,1911,4,7.2
-128,50,1911,5,8.09
-128,50,1911,6,10.35
-128,52,1911,3,6.15
-128,52,1911,4,6.81
-128,52,1911,5,7.67
-128,52,1911,6,10.16
-126,48,1911,3,7.19
-126,48,1911,4,7.95
-126,48,1911,5,9.03
-126,48,1911,6,10.94
-126,50,1911,3,6.78
-126,50,1911,4,7.68
-126,50,1911,5,8.77
-126,50,1911,6,10.76
-136,48,1912,3,7.66
-136,48,1912,4,7.98
-136,48,1912,5,8.68
-136,48,1912,6,10.23
-136,50,1912,3,6.84
-136,50,1912,4,7.36
-136,50,1912,5,8.25
-136,50,1912,6,10.21
-136,52,1912,3,6.07
-136,52,1912,4,6.86
-136,52,1912,5,8
-136,52,1912,6,10.43
-136,54,1912,3,5.26
-136,54,1912,4,6.36
-136,54,1912,5,7.78
-136,54,1912,6,10.69
-136,56,1912,3,4.5
-136,56,1912,4,5.88
-136,56,1912,5,7.58
-136,56,1912,6,10.92
-136,58,1912,3,3.99
-136,58,1912,4,5.6
-136,58,1912,5,7.49
-136,58,1912,6,11.11
-134,48,1912,3,7.71
-134,48,1912,4,8.12
-134,48,1912,5,9.06
-134,48,1912,6,10.72
-134,50,1912,3,7
-134,50,1912,4,7.58
-134,50,1912,5,8.72
-134,50,1912,6,10.76
-134,52,1912,3,6.33
-134,52,1912,4,7.17
-134,52,1912,5,8.54
-134,52,1912,6,10.99
-134,54,1912,3,5.55
-134,54,1912,4,6.68
-134,54,1912,5,8.29
-134,54,1912,6,11.16
-134,56,1912,3,4.74
-134,56,1912,4,6.16
-134,56,1912,5,7.97
-134,56,1912,6,11.2
-134,58,1912,3,4.14
-134,58,1912,4,5.75
-134,58,1912,5,7.7
-134,58,1912,6,11.2
-132,48,1912,3,7.79
-132,48,1912,4,8.27
-132,48,1912,5,9.46
-132,48,1912,6,11.24
-132,50,1912,3,7.18
-132,50,1912,4,7.83
-132,50,1912,5,9.21
-132,50,1912,6,11.32
-132,52,1912,3,6.53
-132,52,1912,4,7.43
-132,52,1912,5,9.06
-132,52,1912,6,11.54
-132,54,1912,3,5.74
-132,54,1912,4,6.94
-132,54,1912,5,8.78
-132,54,1912,6,11.64
-132,56,1912,3,5
-132,56,1912,4,6.42
-132,56,1912,5,8.37
-132,56,1912,6,11.53
-130,48,1912,3,7.93
-130,48,1912,4,8.49
-130,48,1912,5,9.93
-130,48,1912,6,11.8
-130,50,1912,3,7.41
-130,50,1912,4,8.13
-130,50,1912,5,9.75
-130,50,1912,6,11.87
-130,52,1912,3,6.77
-130,52,1912,4,7.73
-130,52,1912,5,9.57
-130,52,1912,6,12.02
-130,54,1912,3,6.01
-130,54,1912,4,7.22
-130,54,1912,5,9.22
-130,54,1912,6,12.01
-128,48,1912,3,8.15
-128,48,1912,4,8.83
-128,48,1912,5,10.51
-128,48,1912,6,12.42
-128,50,1912,3,7.68
-128,50,1912,4,8.51
-128,50,1912,5,10.34
-128,50,1912,6,12.41
