"","FishNumber","Year","Lat","Long","ShipFL","MEC_Radius","Total_Radius","Age","Stock","Data"
"1","2",2014,50.2905333333333,-125.3198,100,584.36,652.16,1,"DollyVarden_Cr","JS"
"2","3",2014,50.2905333333333,-125.3198,128,674.21,761.63,1,"DollyVarden_Cr","JS"
"3","4",2014,50.2905333333333,-125.3198,103,631.92,688.99,1,"Chilko","JS"
"4","8",2014,50.2905333333333,-125.3198,114,672.4,701.45,1,"Nadina","JS"
"5","10",2014,50.2905333333333,-125.3198,103,648.45,721.91,1,"DollyVarden_Cr","JS"
"6","11",2014,50.3948166666667,-125.337116666667,128,517.17,629.08,1,"Pitt","JS"
"7","12",2014,50.3948166666667,-125.337116666667,89,549.67,597.31,1,"DollyVarden_Cr","JS"
"8","22",2014,50.4000833333333,-125.335516666667,173,824.72,898.7,2,"Chilko","JS"
"9","25",2014,50.4000833333333,-125.335516666667,130,663.96,764.76,1,"Birkenhead","JS"
"10","26",2014,50.4000833333333,-125.335516666667,123,654.92,738.61,1,"Pitt","JS"
"11","27",2014,50.3924,-125.3274,154,667.81,791.6,2,"Chilko","JS"
"12","29",2014,50.3924,-125.3274,128,673.58,788.03,2,"Birkenhead","JS"
"13","32",2014,50.2953333333333,-125.407916666667,126,627.58,712.47,1,"DollyVarden_Cr","JS"
"14","33",2014,50.2953333333333,-125.407916666667,133,668.88,712.59,1,"Nadina","JS"
"15","35",2014,50.2953333333333,-125.407916666667,151,749.2,783.27,2,"Chilko","JS"
"16","36",2014,50.2953333333333,-125.407916666667,152,665.37,794.06,1,"Chilko","JS"
"17","37",2014,50.261,-125.358466666667,124,594.17,699.31,1,"Birkenhead","JS"
"18","39",2014,50.299,-125.3355,123,646.74,691.64,1,"Nadina","JS"
"19","40",2014,50.299,-125.3355,122,607.88,682.91,1,"Chilko","JS"
"20","42",2014,50.299,-125.3355,126,628.69,705.91,1,"Nadina","JS"
"21","45",2014,50.299,-125.3355,118,652.21,715.74,1,"Pitt","JS"
"22","47",2014,50.299,-125.3355,128,554.77,682.92,1,"Pitt","JS"
"23","48",2014,50.299,-125.3355,134,606.83,707.59,1,"Chilko","JS"
"24","49",2014,50.299,-125.3355,129,592.04,674.19,1,"Chilko","JS"
"25","50",2014,50.299,-125.3355,136,618.06,731.49,1,"Chilko","JS"
"26","51",2014,50.299,-125.3355,147,618.26,729.43,1,"Chilko","JS"
"27","52",2014,50.299,-125.3355,127,611.08,664.92,2,"Chilko","JS"
"28","53",2014,50.299,-125.3355,122,584.98,629.35,1,"Nadina","JS"
"29","54",2014,50.299,-125.3355,127,627.04,675.77,1,"Nadina","JS"
"30","55",2014,50.299,-125.3355,116,611.32,706.87,1,"DollyVarden_Cr","JS"
"31","56",2014,50.299,-125.3355,146,649.03,731.19,1,"Chilko","JS"
"32","58",2014,50.299,-125.3355,126,594.87,683.61,1,"Chilko","JS"
"33","59",2014,50.299,-125.3355,140,608.45,716.33,2,"Chilko","JS"
"34","61",2014,50.2877833333333,-125.355,125,595.01,689.8,2,"Chilko","JS"
"35","62",2014,50.2877833333333,-125.355,129,586.5,689.46,1,"DollyVarden_Cr","JS"
"36","63",2014,50.2877833333333,-125.355,142,658.85,768.93,1,"Chilko","JS"
"37","68",2014,50.2877833333333,-125.355,136,565.68,689.68,2,"Chilko","JS"
"38","70",2014,50.2877833333333,-125.355,116,572.62,672.89,1,"Chilko","JS"
"39","71",2014,50.2877833333333,-125.355,140,564.1,680.21,2,"Chilko","JS"
"40","72",2014,50.2877833333333,-125.355,132,627.75,757.72,1,"Chilko","JS"
"41","73",2014,50.2877833333333,-125.355,110,595.54,685.37,1,"DollyVarden_Cr","JS"
"42","74",2014,50.2877833333333,-125.355,124,689.46,750.25,2,"Birkenhead","JS"
"43","76",2014,50.2877833333333,-125.355,125,614.99,685.54,1,"Chilko","JS"
"44","79",2014,50.2877833333333,-125.355,122,709.78,794.12,1,"Birkenhead","JS"
"45","80",2014,50.2877833333333,-125.355,122,653.9,703.18,1,"Nadina","JS"
"46","81",2014,50.2877833333333,-125.355,108,584.46,674.32,1,"DollyVarden_Cr","JS"
"47","82",2014,50.2877833333333,-125.355,128,693.83,775.98,1,"Nadina","JS"
"48","84",2014,50.31275,-125.4076,129,592.29,694.74,1,"Chilko","JS"
"49","85",2014,50.31275,-125.4076,128,621.3,700.53,1,"Chilko","JS"
"50","86",2014,50.31275,-125.4076,142,637.17,757.71,1,"DollyVarden_Cr","JS"
"51","92",2014,50.31275,-125.4076,121,707.93,790.67,1,"Birkenhead","JS"
"52","95",2014,50.31275,-125.4076,119,616.14,726.45,1,"DollyVarden_Cr","JS"
"53","96",2014,50.31275,-125.4076,110,635.8,704.81,1,"Chilko","JS"
"54","97",2014,50.31275,-125.4076,129,655.81,710.05,1,"Chilko","JS"
