Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1911,-1.11,0,-0.78,-0.73,0.17,0.02,0.48,0.43,0.29,0.2,-0.86,0.01,-0.156666667
,,,,,,,,,,,,,
1912,-1.72,-0.23,-0.04,-0.38,-0.02,0.77,1.07,-0.84,0.94,0.56,0.74,0.98,0.1525
,,,,,,,,,,,,,
1913,-0.03,0.34,0.06,-0.92,0.66,1.43,1.06,1.29,0.73,0.62,0.75,0.9,0.574166667
,,,,,,,,,,,,,
1914,0.34,-0.29,0.08,1.2,0.11,0.11,-0.21,0.11,-0.34,-0.11,0.03,0.89,0.16
,,,,,,,,,,,,,
1915,-0.41,0.14,-1.22,1.4,0.32,0.99,1.07,0.27,-0.05,-0.43,-0.12,0.17,0.1775
,,,,,,,,,,,,,
1916,-0.64,-0.19,-0.11,0.35,0.42,-0.82,-0.78,-0.73,-0.77,-0.22,-0.68,-1.94,-0.509166667
,,,,,,,,,,,,,
1917,-0.79,-0.84,-0.71,-0.34,0.82,-0.03,0.1,-0.22,-0.4,-1.75,-0.34,-0.6,-0.425
,,,,,,,,,,,,,
1918,-1.13,-0.66,-1.15,-0.32,-0.33,0.07,0.98,-0.31,-0.59,0.61,0.34,0.86,-0.135833333
,,,,,,,,,,,,,
1919,-1.07,1.31,-0.5,0.08,0.17,-0.71,-0.47,0.38,0.06,-0.42,-0.8,0.76,-0.100833333
,,,,,,,,,,,,,
1920,-1.18,0.06,-0.78,-1.29,-0.97,-1.3,-0.9,-2.21,-1.28,-1.06,-0.26,0.29,-0.906666667
,,,,,,,,,,,,,
1921,-0.66,-0.61,-0.01,-0.93,-0.42,0.4,-0.58,-0.69,-0.78,-0.23,1.92,1.42,-0.0975
,,,,,,,,,,,,,
1922,1.05,-0.85,0.08,0.43,-0.19,-1.04,-0.82,-0.93,-0.81,0.84,-0.6,0.48,-0.196666667
,,,,,,,,,,,,,
1923,0.75,-0.04,0.49,0.99,-0.2,0.68,1.16,0.84,-0.24,1.1,0.62,-0.36,0.4825
,,,,,,,,,,,,,
1924,1.29,0.73,1.13,-0.02,0.36,0.75,-0.55,-0.67,-0.48,-1.25,0.24,0.11,0.136666667
,,,,,,,,,,,,,
1925,-0.05,-0.14,0.2,0.86,0.79,-1.08,-0.06,-0.86,0.52,0.04,0.88,1.19,0.190833333
,,,,,,,,,,,,,
1926,0.3,0.98,-0.5,2.1,1.43,2.03,1.05,1.64,1.18,1.65,1,1.06,1.16
,,,,,,,,,,,,,
1927,1.07,1.73,0.15,-0.18,0.3,0.69,-0.31,-0.73,-0.41,-0.62,-0.07,0.07,0.140833333
,,,,,,,,,,,,,
1928,0.96,0.79,0.52,0.81,0.66,0.15,0.3,-0.72,-1.41,-1.31,0.14,0.98,0.155833333
,,,,,,,,,,,,,
1929,0.97,0.52,0.5,0.55,1.07,0.5,-0.06,-0.69,0.45,-0.21,1.24,-0.03,0.400833333
,,,,,,,,,,,,,
1930,0.97,-1.06,-0.43,-0.7,0.06,0.58,-0.45,-0.53,-0.2,-0.38,-0.31,1.2,-0.104166667
,,,,,,,,,,,,,
1931,0.08,1.56,1.13,1.28,1.66,0.39,1.49,0.02,-0.01,-0.17,0.34,1.09,0.738333333
,,,,,,,,,,,,,
1932,-0.26,-0.58,0.51,1.15,0.64,0.1,-0.12,-0.14,-0.4,-0.29,-0.88,0.02,-0.020833333
,,,,,,,,,,,,,
1933,0.29,0.02,0.15,-0.05,-0.5,-0.68,-1.81,-1.56,-2.28,-1.19,0.55,-1.1,-0.68
,,,,,,,,,,,,,
1934,0.17,0.68,1.34,1.63,1.23,0.51,0.44,1.54,1.25,2.1,1.63,1.67,1.1825
,,,,,,,,,,,,,
1935,1.01,0.79,-0.11,1.1,0.99,1.39,0.68,0.63,0.98,0.21,0.13,1.78,0.798333333
,,,,,,,,,,,,,
1936,1.79,1.75,1.36,1.32,1.83,2.37,2.57,1.71,0.04,2.1,2.65,1.28,1.730833333
,,,,,,,,,,,,,
1937,0,-0.49,0.38,0.2,0.53,1.75,0.11,-0.35,0.63,0.76,-0.18,0.55,0.324166667
,,,,,,,,,,,,,
1938,0.5,0.02,0.24,0.27,-0.25,-0.2,-0.21,-0.45,-0.01,0.07,0.48,1.4,0.155
,,,,,,,,,,,,,
1939,1.36,0.07,-0.39,0.45,0.98,1.04,-0.21,-0.74,-1.1,-1.31,-0.88,1.51,0.065
,,,,,,,,,,,,,
1940,2.03,1.74,1.89,2.37,2.32,2.43,2.12,1.4,1.1,1.19,0.68,1.96,1.769166667
,,,,,,,,,,,,,
1941,2.14,2.07,2.41,1.89,2.25,3.01,2.33,3.31,1.99,1.22,0.4,0.91,1.994166667
,,,,,,,,,,,,,
1942,1.01,0.79,0.29,0.79,0.84,1.19,0.12,0.44,0.68,0.54,-0.1,-1,0.465833333
,,,,,,,,,,,,,
1943,-0.18,0.02,0.26,1.08,0.43,0.68,-0.36,-0.9,-0.49,-0.04,0.29,0.58,0.114166667
,,,,,,,,,,,,,
1944,0.18,0.17,0.08,0.72,-0.35,-0.98,-0.4,-0.51,-0.56,-0.4,0.33,0.2,-0.126666667
,,,,,,,,,,,,,
1945,-1.02,0.72,-0.42,-0.4,-0.07,0.56,1.02,0.18,-0.27,0.1,-1.94,-0.74,-0.19
,,,,,,,,,,,,,
1946,-0.91,-0.32,-0.41,-0.78,0.5,-0.86,-0.84,-0.36,-0.22,-0.36,-1.48,-0.96,-0.583333333
