region,area,species,fishery,year,catch
British Columbia,Total,Sockeye,Commercial,1920,4281072
British Columbia,Total,Sockeye,Commercial,1921,2160382
British Columbia,Total,Sockeye,Commercial,1922,3959328
British Columbia,Total,Sockeye,Commercial,1923,4473936
British Columbia,Total,Sockeye,Commercial,1924,4983233
British Columbia,Total,Sockeye,Commercial,1925,4989516
British Columbia,Total,Sockeye,Commercial,1926,4232423
British Columbia,Total,Sockeye,Commercial,1927,4072108
British Columbia,Total,Sockeye,Commercial,1928,2447434
British Columbia,Total,Sockeye,Commercial,1929,3604466
British Columbia,Total,Sockeye,Commercial,1930,5343078
British Columbia,Total,Sockeye,Commercial,1931,3069532
British Columbia,Total,Sockeye,Commercial,1932,3608141
British Columbia,Total,Sockeye,Commercial,1933,3561770
British Columbia,Total,Sockeye,Commercial,1934,4584214
British Columbia,Total,Sockeye,Commercial,1935,4606701
British Columbia,Total,Sockeye,Commercial,1936,4877731
British Columbia,Total,Sockeye,Commercial,1937,4593283
British Columbia,Total,Sockeye,Commercial,1938,5068527
British Columbia,Total,Sockeye,Commercial,1939,4081527
British Columbia,Total,Sockeye,Commercial,1940,4221696
British Columbia,Total,Sockeye,Commercial,1941,5348677
British Columbia,Total,Sockeye,Commercial,1942,7909848
British Columbia,Total,Sockeye,Commercial,1943,2066754
British Columbia,Total,Sockeye,Commercial,1944,2004017
British Columbia,Total,Sockeye,Commercial,1945,3771483
British Columbia,Total,Sockeye,Commercial,1946,7104374
British Columbia,Total,Sockeye,Commercial,1947,3905264
British Columbia,Total,Sockeye,Commercial,1948,2827921
British Columbia,Total,Sockeye,Commercial,1949,2959000
British Columbia,Total,Sockeye,Commercial,1950,4549000
British Columbia,Total,Pink,Commercial,1920,10204145
British Columbia,Total,Pink,Commercial,1921,3834039
British Columbia,Total,Pink,Commercial,1922,10715740
British Columbia,Total,Pink,Commercial,1923,7917006
British Columbia,Total,Pink,Commercial,1924,11754395
British Columbia,Total,Pink,Commercial,1925,7633658
British Columbia,Total,Pink,Commercial,1926,13603925
British Columbia,Total,Pink,Commercial,1927,4154595
British Columbia,Total,Pink,Commercial,1928,14333608
British Columbia,Total,Pink,Commercial,1929,7551530
British Columbia,Total,Pink,Commercial,1930,23872907
British Columbia,Total,Pink,Commercial,1931,3272644
British Columbia,Total,Pink,Commercial,1932,4024559
British Columbia,Total,Pink,Commercial,1933,9368319
British Columbia,Total,Pink,Commercial,1934,9289105
British Columbia,Total,Pink,Commercial,1935,7404588
British Columbia,Total,Pink,Commercial,1936,12113672
British Columbia,Total,Pink,Commercial,1937,10323648
British Columbia,Total,Pink,Commercial,1938,6990762
British Columbia,Total,Pink,Commercial,1939,8832117
British Columbia,Total,Pink,Commercial,1940,3794671
British Columbia,Total,Pink,Commercial,1941,6154371
British Columbia,Total,Pink,Commercial,1942,3912532
British Columbia,Total,Pink,Commercial,1943,9474178
British Columbia,Total,Pink,Commercial,1944,6636325
British Columbia,Total,Pink,Commercial,1945,14454083
British Columbia,Total,Pink,Commercial,1946,3435088
British Columbia,Total,Pink,Commercial,1947,12334002
British Columbia,Total,Pink,Commercial,1948,7012802
British Columbia,Total,Pink,Commercial,1949,10854000
British Columbia,Total,Pink,Commercial,1950,6876000
Alaska,Western,Sockeye,Commercial,1910,11593609
Alaska,Western,Sockeye,Commercial,1911,8953966
Alaska,Western,Sockeye,Commercial,1912,19949089
Alaska,Western,Sockeye,Commercial,1913,21470642
Alaska,Western,Sockeye,Commercial,1914,21522855
Alaska,Western,Sockeye,Commercial,1915,16761948
Alaska,Western,Sockeye,Commercial,1916,19573133
Alaska,Western,Sockeye,Commercial,1917,25263558
Alaska,Western,Sockeye,Commercial,1918,24354454
Alaska,Western,Sockeye,Commercial,1919,7554451
Alaska,Western,Sockeye,Commercial,1920,10279904
Alaska,Western,Sockeye,Commercial,1921,17426541
Alaska,Western,Sockeye,Commercial,1922,24320087
Alaska,Western,Sockeye,Commercial,1923,18913632
Alaska,Western,Sockeye,Commercial,1924,11029554
Alaska,Western,Sockeye,Commercial,1925,8334226
Alaska,Western,Sockeye,Commercial,1926,20088289
Alaska,Western,Sockeye,Commercial,1927,11319681
Alaska,Western,Sockeye,Commercial,1928,20565595
Alaska,Western,Sockeye,Commercial,1929,13066638
Alaska,Western,Sockeye,Commercial,1930,4429335
Alaska,Western,Sockeye,Commercial,1931,13551599
Alaska,Western,Sockeye,Commercial,1932,15916701
Alaska,Western,Sockeye,Commercial,1933,24059061
Alaska,Western,Sockeye,Commercial,1934,21691813
Alaska,Western,Sockeye,Commercial,1935,3502165
Alaska,Western,Sockeye,Commercial,1936,21197630
Alaska,Western,Sockeye,Commercial,1937,22118668
Alaska,Western,Sockeye,Commercial,1938,25709357
Alaska,Western,Sockeye,Commercial,1939,14078567
Alaska,Western,Sockeye,Commercial,1940,5405609
Alaska,Western,Sockeye,Commercial,1941,7645372
Alaska,Western,Sockeye,Commercial,1942,6343363
Alaska,Western,Sockeye,Commercial,1943,17897611
Alaska,Western,Sockeye,Commercial,1944,11960283
Alaska,Western,Sockeye,Commercial,1945,7694625
Alaska,Western,Sockeye,Commercial,1946,8748920
Alaska,Western,Sockeye,Commercial,1947,18999688
Alaska,Western,Sockeye,Commercial,1948,15022000
Alaska,Western,Sockeye,Commercial,1949,6586438
Alaska,Western,Sockeye,Commercial,1950,7285026
Alaska,Western,Pink,Commercial,1910,652129
Alaska,Western,Pink,Commercial,1911,91764
Alaska,Western,Pink,Commercial,1912,1680652
Alaska,Western,Pink,Commercial,1913,425493
Alaska,Western,Pink,Commercial,1914,564998
Alaska,Western,Pink,Commercial,1915,134798
Alaska,Western,Pink,Commercial,1916,866596
Alaska,Western,Pink,Commercial,1917,38254
Alaska,Western,Pink,Commercial,1918,696114
Alaska,Western,Pink,Commercial,1919,16493
Alaska,Western,Pink,Commercial,1920,2045437
Alaska,Western,Pink,Commercial,1921,939
Alaska,Western,Pink,Commercial,1922,289795
Alaska,Western,Pink,Commercial,1923,3
Alaska,Western,Pink,Commercial,1924,776902
Alaska,Western,Pink,Commercial,1925,3860
Alaska,Western,Pink,Commercial,1926,809765
Alaska,Western,Pink,Commercial,1927,334578
Alaska,Western,Pink,Commercial,1928,46665
Alaska,Western,Pink,Commercial,1929,0
Alaska,Western,Pink,Commercial,1930,248727
Alaska,Western,Pink,Commercial,1931,0
Alaska,Western,Pink,Commercial,1932,172396
Alaska,Western,Pink,Commercial,1933,150
Alaska,Western,Pink,Commercial,1934,33703
Alaska,Western,Pink,Commercial,1935,78
Alaska,Western,Pink,Commercial,1936,526673
Alaska,Western,Pink,Commercial,1937,192
Alaska,Western,Pink,Commercial,1938,0
Alaska,Western,Pink,Commercial,1939,64
Alaska,Western,Pink,Commercial,1940,258367
Alaska,Western,Pink,Commercial,1941,3178
Alaska,Western,Pink,Commercial,1942,171913
Alaska,Western,Pink,Commercial,1943,1250
Alaska,Western,Pink,Commercial,1944,57909
Alaska,Western,Pink,Commercial,1945,2507
Alaska,Western,Pink,Commercial,1946,41261
Alaska,Western,Pink,Commercial,1947,471
Alaska,Western,Pink,Commercial,1948,53262
Alaska,Western,Pink,Commercial,1949,38
Alaska,Western,Pink,Commercial,1950,32171
Alaska,Central,Sockeye,Commercial,1910,4446015
Alaska,Central,Sockeye,Commercial,1911,5684211
Alaska,Central,Sockeye,Commercial,1912,5651532
Alaska,Central,Sockeye,Commercial,1913,4684118
Alaska,Central,Sockeye,Commercial,1914,5067350
Alaska,Central,Sockeye,Commercial,1915,6199482
Alaska,Central,Sockeye,Commercial,1916,7789341
Alaska,Central,Sockeye,Commercial,1917,9553882
Alaska,Central,Sockeye,Commercial,1918,8034151
Alaska,Central,Sockeye,Commercial,1919,5687991
Alaska,Central,Sockeye,Commercial,1920,7334375
Alaska,Central,Sockeye,Commercial,1921,7284599
Alaska,Central,Sockeye,Commercial,1922,7360643
Alaska,Central,Sockeye,Commercial,1923,5647895
Alaska,Central,Sockeye,Commercial,1924,5729383
Alaska,Central,Sockeye,Commercial,1925,5047112
Alaska,Central,Sockeye,Commercial,1926,9003386
Alaska,Central,Sockeye,Commercial,1927,4244691
Alaska,Central,Sockeye,Commercial,1928,5237157
Alaska,Central,Sockeye,Commercial,1929,4979688
Alaska,Central,Sockeye,Commercial,1930,3377285
Alaska,Central,Sockeye,Commercial,1931,5486337
Alaska,Central,Sockeye,Commercial,1932,7831915
Alaska,Central,Sockeye,Commercial,1933,6112559
Alaska,Central,Sockeye,Commercial,1934,7260471
Alaska,Central,Sockeye,Commercial,1935,4853811
Alaska,Central,Sockeye,Commercial,1936,10756997
Alaska,Central,Sockeye,Commercial,1937,6811100
Alaska,Central,Sockeye,Commercial,1938,6458147
Alaska,Central,Sockeye,Commercial,1939,8239359
Alaska,Central,Sockeye,Commercial,1940,4770105
Alaska,Central,Sockeye,Commercial,1941,5268303
Alaska,Central,Sockeye,Commercial,1942,4949885
Alaska,Central,Sockeye,Commercial,1943,7969834
Alaska,Central,Sockeye,Commercial,1944,5608907
Alaska,Central,Sockeye,Commercial,1945,5631714
Alaska,Central,Sockeye,Commercial,1946,4595800
Alaska,Central,Sockeye,Commercial,1947,6242802
Alaska,Central,Sockeye,Commercial,1948,4332844
Alaska,Central,Sockeye,Commercial,1949,4760732
Alaska,Central,Sockeye,Commercial,1950,6536772
Alaska,Central,Pink,Commercial,1910,647089
