Country,Whole Country/Province/State ,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,British Columbia,Fraser River,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,189.46,0.61,4.28,2.22,120.4,0.05,294.31,0.02,2.19,0.25,0.45,0,93.43,0.13,805.56,0,1743.36,0.09,102.28
Canada,British Columbia,Fraser River,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.69,2099.61,373.38,13.96,455.51,287.92,1079.81,233.23,552.59,7.34,783.92,0.64,4.93,4.46,3393.79,171.53,3.42,11.54,3045.91,5.55
Canada,British Columbia,South Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3984.8,96.34,19.31,1414.38,1172.4,128.91,1098.01,101.32,323.51,47,63.52,8.79,1323.21,199.02,3802.13,2.92,991.53,586.7,183.97
Canada,British Columbia,South Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.25,6988.41,988.41,142.19,598.05,319.98,1114.83,838,902.16,254.72,2485.11,15.76,23.09,14.26,5955.82,222.7,8.84,63.96,5063.95,31.86
Canada,British Columbia,West Coast Vancouver Island,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24,15.11,0.02,1.91,0.08,8.22,1.5,1.66,0.06,0.07,0.09,0.74,0.01,0.1,0.05,0.2,0.03,0.03,0.11,0.2
Canada,British Columbia,West Coast Vancouver Island,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.96,93.57,117.89,112.89,63.94,147.9,675.93,434.82,226.21,21.13,120.91,0.46,0,24.96,737.95,426.28,195.49,29.88,424.95,876.65
Canada,British Columbia,Central Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.97,426.78,520.63,127.17,67.01,805.19,1033.27,617.84,328.44,607.29,58.14,218.23,6.03,126.86,1.36,3.23,18.44,489.7,41.62,707.6
Canada,British Columbia,Central Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63,31.55,22.39,6.01,2.56,2.4,5.79,19.18,4.98,1.09,1.19,0.37,0.26,1.07,0.3,45.21,0.51,2.32,2.53,1.81
Canada,British Columbia,North Coast,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989.33,1261.71,1083.01,5890.28,2425.34,4544.54,4094.65,8605.74,1843.6,7312.32,600.32,6254.59,179.18,8198.91,99.77,1247.17,463.64,8872.02,2971.81,402.52
Canada,British Columbia,North Coast,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764.73,1740.75,281.45,439.55,2388.09,2201.05,1285.92,1172.17,651.8,203.91,1243.01,639.89,737.94,167.9,142.23,480.24,652.85,152.67,658.41,223.5
Canada,British Columbia,Haida Gwaii,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.81,683.44,721.39,31.03,585.08,175.42,76.09,97.63,76.22,39.61,71.75,71.63,31.55,63.24,477.16,52.44,296.48,94.79,638.83,40.89
