"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.2",582.909398770788,572.557863622059,593.260933919518
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.2",581.811409813543,571.780373630659,591.842445996426
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.2",568.817371876878,560.584191115885,577.050552637871
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.2",569.697895874038,560.444057373951,578.951734374125
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.2",569.522954555185,562.290039674569,576.755869435801
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.2",572.553841944936,563.184991610178,581.922692279694
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.2",571.285902297868,564.784920610521,577.786883985215
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.2",574.836366344846,564.298144996801,585.374587692891
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.2",569.760800338344,562.665468165781,576.856132510906
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.2",576.620410117768,570.400287257383,582.840532978154
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.2",576.760122091997,570.277743382399,583.242500801595
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.2",572.617282839992,564.101784095734,581.13278158425
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.2",570.772695412209,558.016805375164,583.528585449254
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.2",579.10383138327,571.835114692805,586.372548073735
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.2",576.826063590994,568.841504596075,584.810622585912
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.2",577.473988407867,570.330965114793,584.617011700941
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.2",576.474218518204,570.259780559747,582.688656476662
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.2",578.28791340788,570.8809826226,585.69484419316
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.2",575.142373673559,566.851036231151,583.433711115967
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.2",571.808024542807,566.216128256136,577.399920829478
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.2",572.955464433482,565.293702349709,580.617226517255
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.3",645.586120930509,635.201788311964,655.970453549053
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.3",644.704429160019,634.632348125532,654.776510194506
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.3",633.394697124541,625.312620578332,641.476773670749
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.3",635.988549827603,626.823883124848,645.153216530358
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.3",631.645920703947,624.54814438897,638.743697018925
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.3",636.782480705472,627.44244944157,646.122511969374
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.3",631.181019719248,624.733132034746,637.62890740375
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.3",639.033431849024,628.481465295346,649.585398402702
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.3",631.502666868308,624.532625909552,638.472707827063
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.3",633.398263899871,627.069964220687,639.726563579055
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.3",634.64781096357,628.107842958547,641.187778968593
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.3",635.15289452455,626.678895894836,643.626893154264
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.3",643.759684672209,630.825970887951,656.693398456467
