"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.2",596.291586420724,590.200111904329,602.383060937119
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.2",599.825001121279,593.112996518878,606.537005723681
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.2",604.088641073175,597.839887622292,610.337394524058
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.2",615.972781836127,605.52972387913,626.415839793124
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.2",596.739769422416,592.04047556077,601.439063284061
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.2",596.674370004905,590.82934769974,602.519392310071
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.2",596.370666479809,591.595063985714,601.146268973904
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.2",609.494669854554,597.918284670464,621.071055038644
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.2",602.151684827836,596.457766838315,607.845602817358
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.2",593.934116217191,588.029998877888,599.838233556495
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.2",600.032392568113,594.077029344576,605.98775579165
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.2",595.053649847579,586.439105418622,603.668194276537
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.2",594.271259369263,588.097824187256,600.444694551269
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.2",595.028149393272,588.738677568761,601.317621217783
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.2",594.886118897742,588.626745315063,601.145492480422
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.2",594.378115711509,587.789804058462,600.966427364556
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.2",594.421197323202,586.685703964575,602.156690681829
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.2",601.887161995474,595.169973860698,608.604350130249
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.2",599.820119124171,594.871981101006,604.768257147335
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.2",610.015065416854,602.493235557957,617.536895275751
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.2",595.160096888457,590.110765030761,600.209428746153
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.3",634.739288254612,628.674667476227,640.803909032997
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.3",635.69640670218,629.029714022582,642.363099381778
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.3",637.615588095942,631.456813879395,643.77436231249
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.3",638.038618655465,627.719408493793,648.357828817138
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.3",636.806608282232,632.198937815253,641.414278749211
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.3",635.095180684386,629.2856901763,640.904671192472
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.3",636.368774903394,631.67284180285,641.064708003939
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.3",635.86298076198,624.298524161407,647.427437362552
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.3",637.470377424853,631.870217944328,643.070536905378
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.3",634.427944172306,628.519769217045,640.336119127566
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.3",636.330398881112,630.445742036587,642.215055725636
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.3",633.279802929906,624.793302281363,641.76630357845
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.3",633.776604419052,627.608342306998,639.944866531106
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.3",633.949747296571,627.674699188522,640.22479540462
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.3",633.885568831741,627.638914510852,640.132223152631
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.3",633.388796181786,626.825495256164,639.952097107407
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.3",633.639250773466,625.968156089425,641.310345457506
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.3",636.39905242764,629.743103601622,643.055001253657
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.3",637.827156878446,632.973924883457,642.680388873436
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.3",638.562694886592,631.143205316673,645.982184456511
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.3",637.906808058539,632.926494618978,642.8871214981
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.2",630.758797584674,624.73906696985,636.778528199499
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.2",631.167778148048,624.529542161171,637.806014134925
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.2",630.130237664076,623.944116567443,636.316358760709
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.2",638.683019466455,628.312911724336,649.053127208574
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.2",625.937137133338,621.303888522599,630.570385744078
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.2",629.946362055487,624.168878254946,635.723845856028
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.2",626.383640241835,621.670232475852,631.097048007817
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.2",640.217564390832,628.738986676745,651.696142104919
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.2",628.907056208409,623.278086414504,634.536026002313
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.2",628.653268837752,622.813478104009,634.493059571495
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.2",629.496835198423,623.608883964099,635.384786432747
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.2",631.926827696355,623.50429850449,640.349356888221
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.2",631.048753719392,624.954606203463,637.142901235322
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.2",632.049901890904,625.839259537427,638.260544244381
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.2",632.05460259804,625.873779207074,638.235425989007
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"2.2",632.223225971485,625.735815380159,638.71063656281
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"2.2",630.639276958587,623.04556709168,638.232986825493
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"2.2",630.946410990309,624.297837700942,637.594984279676
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"2.2",626.891132174883,622.012025348818,631.770239000949
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"2.2",633.257436181458,625.794050919569,640.720821443346
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"2.2",624.065255323981,619.087501717895,629.043008930067
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.3",670.956147812859,664.81012482857,677.102170797148
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.3",672.33923568164,665.551649858196,679.126821505083
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.3",676.98596789933,670.614159734875,683.357776063785
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.3",675.434487212316,664.825368076918,686.043606347714
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.3",677.011810470943,672.241770135973,681.781850805913
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.3",671.948318642396,666.048130992981,677.84850629181
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.3",676.02737800906,671.180589630196,680.874166387925
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.3",669.134006477019,657.376386944054,680.891626009983
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.3",677.089288624687,671.289701062357,682.888876187017
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.3",672.892449944923,666.859600792588,678.925299097258
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.3",674.408014548085,668.371787873472,680.444241222699
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.3",672.169604562303,663.483397652625,680.85581147198
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.3",670.688437418048,664.410341024398,676.966533811698
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.3",669.382655143461,663.024512688381,675.740797598541
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.3",669.380119929492,663.048390231086,675.711849627897
