"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.2",596.18682067776,589.775306201024,602.598335154496
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.2",596.675825789814,590.633847415321,602.717804164306
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.2",598.753933597022,593.640575317061,603.867291876983
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.2",597.849413907903,592.470545126152,603.228282689655
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.2",598.890345235333,593.797237539571,603.983452931094
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.2",596.57098081482,590.454015386626,602.687946243014
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.2",598.391767011478,593.199288184443,603.584245838514
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.2",595.340953473181,588.181623334242,602.500283612119
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.2",598.836356455815,593.735859806809,603.936853104821
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.2",597.063754425297,591.277834163372,602.849674687221
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.2",597.558750716168,592.047536648182,603.069964784155
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.2",596.859496578886,590.943032114499,602.775961043274
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.2",596.172578917538,589.749568552841,602.595589282235
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.2",595.627345253405,588.735388938008,602.519301568801
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.2",595.632490598568,588.745211143315,602.519770053822
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.2",595.910184265343,589.268357339471,602.552011191214
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.2",596.970895468643,591.126829964622,602.814960972665
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.2",597.322412122213,591.68758844959,602.957235794835
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.2",599.715058723506,594.633995799524,604.796121647488
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.2",599.357034642675,594.293773958183,604.420295327167
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.2",600.65052410915,595.366773625676,605.934274592625
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.3",634.375581588763,627.965040345369,640.786122832156
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.3",634.958085666435,628.908395397823,641.007775935046
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.3",637.139564826325,631.981550255738,642.297579396912
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.3",636.250056318815,630.840311940438,641.659800697193
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.3",637.265729434948,632.126513221329,642.404945648567
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.3",634.835296304094,628.712596725731,640.957995882456
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.3",636.794513727803,631.562094858391,642.026932597214
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.3",633.312109002556,626.164098596194,640.460119408917
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.3",637.216043522786,632.069991134552,642.362095911019
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.3",635.40210606965,629.600819087587,641.203393051712
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.3",635.944475987998,630.40794867399,641.481003302006
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.3",635.170355819451,629.242606864906,641.098104773997
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.3",634.35824861214,627.936440563463,640.780056660817
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.3",633.679708998142,626.796383663909,640.563034332374
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.3",633.686244987866,626.807539965568,640.564950010165
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.3",634.035292461775,627.398587937243,640.671996986307
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.3",635.297316928059,629.439750622426,641.154883233692
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.3",635.688947472508,630.033529539261,641.344365405755
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.3",637.985399652801,632.853318353996,643.117480951607
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.3",637.681908521899,632.568968504366,642.794848539433
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.3",638.717525176536,633.38342002175,644.051630331321
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.2",631.558895559754,625.208752767862,637.909038351645
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.2",630.698593376523,624.708066127071,636.689120625976
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.2",628.409485243155,623.309040827968,633.509929658342
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.2",629.126836100291,623.774826223926,634.478845976656
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.2",628.338420807253,623.256819885614,633.420021728892
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.2",630.873271270804,624.809959381761,636.936583159848
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.2",628.645073914776,623.470202739678,633.819945089875
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.2",633.306821806914,626.222692877195,640.390950736633
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.2",628.365396616943,623.276938984603,633.453854249282
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.2",630.100187484714,624.357394134787,635.842980834641
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.2",629.449144470184,623.970556480843,634.927732459524
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.2",630.405774712064,624.536841948447,636.274707475682
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.2",631.585662809406,625.224296828732,637.947028790081
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.2",632.679991297603,625.859153024578,639.500829570628
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.2",632.669047410931,625.852806516475,639.485288305386
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"2.2",632.095607237773,625.520234667582,638.670979807964
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"2.2",630.23646990883,624.437536154639,636.035403663021
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"2.2",629.744044899399,624.146794873679,635.341294925119
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"2.2",628.109150448681,623.035578671694,633.182722225669
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"2.2",628.167150963361,623.112178085195,633.222123841528
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"2.2",628.24055738752,622.968076622306,633.513038152734
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.3",671.146666219929,664.671253759849,677.62207868001
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.3",672.626089454834,666.511823985693,678.740354923975
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.3",677.695620343604,672.439335021353,682.951905665854
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.3",675.737570806657,670.245955963504,681.229185649811
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.3",677.957852223631,672.718538702352,683.19716574491
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.3",672.31760097517,666.130770150792,678.504431799548
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.3",676.957617660895,671.632828999542,682.282406322248
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.3",668.356191369848,661.126106526458,675.586276213239
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.3",677.855090808338,672.609634316339,683.100547300337
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.3",673.724832257999,667.855324107097,679.594340408902
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.3",675.026600097574,669.413840317227,680.639359877922
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.3",673.154762868175,667.161076969452,679.148448766899
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.3",671.102054781595,664.615270628262,677.588838934929
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.3",669.332178627875,662.375210112647,676.289147143103
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.3",669.349430231051,662.397208251461,676.301652210641
