"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.2",597.87447401434,592.646611693108,603.102336335571
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.2",600.4001878011,595.37169815974,605.428677442459
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.2",602.999951582989,597.371659096334,608.628244069644
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.2",606.777031866624,599.271987688598,614.282076044649
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.2",599.538496104305,594.531667594487,604.545324614123
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.2",598.324901172299,593.189818064897,603.459984279701
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.2",598.98070009701,593.937617980722,604.023782213298
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.2",604.320200798993,598.137734082452,610.502667515534
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.2",602.242984552205,596.864554727824,607.621414376586
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.2",594.606304124233,588.11844620994,601.094162038527
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.2",600.765461158822,595.69953564149,605.831386676155
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.2",590.730317612576,581.930059589441,599.530575635712
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.2",594.225880386652,587.539876896573,600.911883876732
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.2",596.19332969641,590.430339446769,601.956319946051
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.2",595.935412523055,590.067283136188,601.803541909922
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.2",593.377052555957,586.221631241479,600.532473870434
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.2",591.829799201652,583.740298006205,599.919300397099
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.2",601.591066260474,596.381038987341,606.801093533607
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.2",601.647239065135,596.424528942406,606.869949187864
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.2",605.338816641405,598.646075921987,612.031557360823
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.2",599.892940962314,594.888633491127,604.8972484335
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.3",638.114905963184,632.816078333931,643.413733592437
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.3",639.739672225032,634.611067133852,644.868277316213
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.3",640.231024185055,634.534239476076,645.927808894035
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.3",639.221734521439,631.657382924278,646.7860861186
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.3",639.31728244964,634.212534388355,644.422030510924
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.3",638.491476681074,633.275686246306,643.707267115841
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.3",638.971642889128,633.836652952651,644.106632825605
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.3",640.075958556981,633.842447067406,646.309470046555
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.3",640.203637719617,634.744439523478,645.662835915757
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.3",634.259158003052,627.766859607605,640.7514563985
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.3",639.878446115915,634.714003058268,645.042889173562
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.3",627.597300234301,618.691757173866,636.502843294736
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.3",633.692444105747,627.003434376417,640.381453835077
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.3",636.370911361765,630.578331082442,642.163491641087
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.3",636.056983898574,630.164975121328,641.94899267582
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.3",632.351716543168,625.188265948944,639.515167137391
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.3",629.666243088263,621.52720722502,637.805278951506
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.3",640.105886683863,634.80553407966,645.406239288067
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.3",640.117106001859,634.804812867933,645.429399135785
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.3",639.800672696469,633.061401831204,646.539943561735
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.3",639.507304506082,634.403123751918,644.611485260246
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.2",631.059277596716,625.843845867504,636.274709325929
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.2",631.578476552274,626.542230627564,636.614722476985
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.2",632.354212187283,626.738055567113,637.970368807454
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.2",633.833321908576,626.366861536892,641.299782280259
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.2",631.37438692681,626.361849538669,636.386924314951
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.2",631.134131447358,626.005023546645,636.263239348071
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.2",631.25702947171,626.212425726593,636.301633216828
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.2",632.830824224597,626.67502790092,638.986620548275
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.2",632.104707251222,626.730022855257,637.479391647186
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.2",630.745707098456,624.32010209435,637.171312102562
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.2",631.673220409842,626.600276996468,636.746163823216
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.2",630.800650415323,622.04019204466,639.561108785986
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.2",630.733295100451,624.112658385891,637.35393181501
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.2",630.84906255378,625.126737800588,636.571387306973
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.2",630.826285856168,625.003028261643,636.649543450693
