"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.2",554.779262989349,548.897409490061,560.661116488638
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.2",553.869152698228,549.358497894939,558.379807501518
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.2",545.53602112432,536.787406345437,554.284635903203
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.2",550.502148837827,545.844950007054,555.159347668599
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.2",547.013562120573,539.789708039746,554.2374162014
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.2",553.578855129575,549.264002896513,557.893707362636
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.2",551.048298258936,546.753822042365,555.342774475508
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.2",549.888617328509,542.995208532152,556.782026124867
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.2",549.89979065173,545.040974042325,554.758607261135
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.2",553.479863967987,549.128732519358,557.830995416616
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.2",553.432156052103,548.457782812289,558.406529291917
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.2",544.962155304924,534.392749653241,555.531560956607
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.2",544.122261901059,532.038066514893,556.206457287225
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.2",552.093057307203,547.121614256412,557.064500357994
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.2",553.295108187773,548.732239580029,557.857976795517
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.2",550.150903980324,544.032012062706,556.269795897942
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.2",550.336786290962,545.168005629988,555.505566951936
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.2",553.599630053772,548.254029727902,558.945230379642
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.2",550.123808982725,544.690922877195,555.556695088256
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.2",551.392568127898,546.483170542435,556.301965713362
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.2",549.3882953863,544.24251347921,554.534077293389
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"1.3",614.997765307725,609.101963556654,620.893567058795
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"1.3",615.431470134219,610.907661688824,619.955278579614
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"1.3",622.705855285738,614.01577973018,631.395930841297
1963,-0.62,7.3499,1.166909,2.32,68551300,"1.3",618.2310536003,613.583961117005,622.878146083596
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"1.3",620.798025733554,613.615830911604,627.980220555504
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"1.3",615.633571396585,611.309340901825,619.957801891344
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"1.3",617.107822631626,612.807569854749,621.408075408503
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"1.3",619.108853409057,612.279081371748,625.938625446366
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"1.3",617.694258758691,612.840925972408,622.547591544974
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"1.3",615.764389697563,611.397602737425,620.131176657701
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"1.3",616.101761840215,611.103420608434,621.100103071997
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"1.3",625.130072181201,614.64867542204,635.611468940363
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"1.3",626.15524314937,614.176705572262,638.133780726477
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.3",616.814762022203,611.871935979221,621.757588065184
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.3",615.531465266923,610.977906730918,620.085023802928
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.3",619.116297799591,613.049251289561,625.183344309622
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.3",618.936407863666,613.796776007969,624.076039719363
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.3",616.265033170451,610.894389312799,621.635677028103
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.3",618.086976433488,612.605325996151,623.568626870825
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.3",616.590661760784,611.650608427865,621.530715093703
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.3",616.633758802121,611.457998238502,621.809519365741
