"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1914","42","4[2]","Gilbert-Clemens","female",24,203.625,10.5616718867553,572.916666666667,27.3780563775899,5.58852235618718,583.870170484793,561.96316284854
"1914","42","4[2]","Gilbert-Clemens","male",42,204.97619047619,13.656925510592,605.619047619048,24.9447705854083,3.84906166536436,613.163208483162,598.074886754933
"1914","52","5[2]","Gilbert-Clemens","female",254,198.03937007874,8.64897496707428,623.92125984252,21.8860167241733,1.37325082449333,626.612831458527,621.229688226513
"1914","52","5[2]","Gilbert-Clemens","male",233,197.884120171674,9.86413549977444,652.257510729614,22.0669581903991,1.44565449747884,655.090993544672,649.424027914555
"1914","53","5[3]","Gilbert-Clemens","female",376,205.781914893617,14.1796207773717,635.547872340426,21.8426578540172,1.12644906926974,637.755712516194,633.340032164657
"1914","53","5[3]","Gilbert-Clemens","male",370,203.710810810811,13.8050751396654,653.654054054054,25.3542766937599,1.31810608056853,656.237541971968,651.07056613614
"1914","63","6[3]","Gilbert-Clemens","female",167,210.083832335329,11.9941819096828,649.425149700599,26.9766537140911,2.0875161379992,653.516681331077,645.33361807012
"1914","63","6[3]","Gilbert-Clemens","male",180,210.316666666667,12.4004302502398,675.3,29.9962567497082,2.23578897209615,679.682146385308,670.917853614691
"1915","42","4[2]","Gilbert-Clemens","female",66,196.242424242424,5.80201717193281,582.939393939394,17.6930049523088,2.17785835948441,587.207996323983,578.670791554805
"1915","42","4[2]","Gilbert-Clemens","male",90,194.488888888889,5.88512587942935,594.355555555556,21.8474337634295,2.30292172407005,598.869282134733,589.841828976378
"1915","52","5[2]","Gilbert-Clemens","female",93,194.505376344086,5.94288697211611,623.182795698925,23.1882401963465,2.40450849694177,627.895632352931,618.469959044919
"1915","52","5[2]","Gilbert-Clemens","male",98,193.785714285714,5.64453937379022,640.795918367347,22.0182488435751,2.22417900959212,645.155309226148,636.436527508546
"1915","53","5[3]","Gilbert-Clemens","female",56,197.714285714286,5.02254656782533,616.535714285714,34.1477880480044,4.56319012113594,625.479566923141,607.591861648288
"1915","53","5[3]","Gilbert-Clemens","male",73,193.178082191781,6.05149766989183,627.424657534247,30.4685255670226,3.56607118573896,634.414157058295,620.435158010198
"1915","63","6[3]","Gilbert-Clemens","female",29,196.655172413793,5.5115195083244,628.862068965517,29.3947567456839,5.45846929452195,639.56066878278,618.163469148254
"1915","63","6[3]","Gilbert-Clemens","male",34,195.176470588235,6.37452595140763,651.617647058824,30.3235229282606,5.20044127873313,661.81051196514,641.424782152507
"1916","42","4[2]","Gilbert-Clemens","female",19,204.736842105263,13.2028705012843,582.684210526316,33.1311411608457,7.60080506338459,597.58178845055,567.786632602082
"1916","42","4[2]","Gilbert-Clemens","male",27,198.851851851852,10.8688110725624,605.074074074074,26.8126346880977,5.16009395161876,615.187858219247,594.960289928901
